Employee_Key,Name,Phone_Number,Fax_Number,Email,Address,Salary,Dealership_Manager,Position_Type,City,State,Region,Country
86485.0,BasilioAcain,(805) 528-1886,(805) 528-1886,abasilio@univ.edu,928 Nipomo Ave,62100,19.0,SALESREP,New York,New York,East,United States
86469.0,Daniel GGialloreto,(404) 352-0264,(404) 352-0264,gdanielg@mailcity.com,8226 Brookwood Vly Cir Ne,82000,20.0,MANAGER,Baltimore,Maryland,East,United States
86447.0,AlfredDavid,(310) 837-1176,(310) 837-1176,dalfred@xyz.org,3603 Dunn Dr Apt 102,68500,21.0,SALESREP,Boston,Massachusetts,East,United States
86465.0,JohnGiblin,(404) 237-9619,(404) 237-9619,gjohn@mailcity.com,273 Rumson Rd Ne,65950,21.0,SALESREP,Boston,Massachusetts,East,United States
86475.0,M HDobson,(404) 892-6117,(404) 892-6117,dmh@hotmail.com,812 Ponce De Leon Ave Ne,83200,21.0,MANAGER,Boston,Massachusetts,East,United States
86418.0,MichaelHa,(310) 559-5719,(310) 559-5719,,3756 Cardiff Ave Apt 209,64200,21.0,SALESREP,Boston,Massachusetts,East,United States
86450.0,ChuckAnders,(770) 934-8595,(770) 934-8595,,3045 Huntshire Pl,66600,22.0,SALESREP,Miami,Florida,East,United States
86471.0,John AErnst,(404) 252-5899,(404) 252-5899,ejohna@geocities.com,3391 Kennington Ct Ne,65500,22.0,SALESREP,Miami,Florida,East,United States
86477.0,Robert W JrGibeling,(404) 266-2730,(404) 266-2730,grobertwuniv.edu,2466 Sharondale Dr Ne,83200,22.0,MANAGER,Miami,Florida,East,United States
86483.0,LaurencioZabala,(323) 257-9547,(323) 257-9547,zlaurencio@xyz.org,4957 Mount Royal Dr,67100,22.0,SALESREP,Miami,Florida,East,United States
86430.0,GilbertFader,(310) 446-1497,(310) 446-1497,fgilbert@hotmail.com,2831 Midvale Ave,64200,22.0,SALESREP,Miami,Florida,East,United States
86458.0,RobertBrabant,(404) 724-4615,(404) 724-4615,brobert@univ.edu,881 N Highland Ave Ne,76600,23.0,SALESREP,Fairfax,Virginia,East,United States
86470.0,ScottGiacobbe,(404) 250-4400,(404) 250-4400,gscott@xyz.org,420 Glenridge Clse Ct Ne,65950,23.0,SALESREP,Fairfax,Virginia,East,United States
86479.0,EstebanRoach,(404) 298-6526,(404) 298-6526,,5400 Memorial Dr,84250,23.0,MANAGER,Fairfax,Virginia,East,United States
86490.0,RichVon Biberstein ,(404) 531-0430,(404) 531-0430,,865 Starlight Dr Ne,65950,23.0,SALESREP,Fairfax,Virginia,East,United States
86443.0,ArmandoQuezada,(323) 342-9873,(323) 342-9873,qarmando@hotmail.com,5532 Allan St,64100,24.0,SALESREP,Charleston,West Virginia,East,United States
86482.0,Boon YLee,(213) 738-7957,(213) 738-7957,,1400 S Kenmore Ave,84200,24.0,MANAGER,Charleston,West Virginia,East,United States
86452.0,KhunBe,(323) 468-8003,(323) 468-8003,bkhun@yahoo.com,5543 Harold Way,68500,25.0,SALESREP,Atlanta,Georgia,East,United States
86486.0,FredRoach,(770) 481-9392,(770) 481-9392,rfred@hotmail.com,222 Summerset Ln Ne,82900,25.0,MANAGER,Atlanta,Georgia,East,United States
86408.0,Harold JKing,(310) 398-7506,(310) 398-7506,kharoldj@compuserve.com,3165 S Barrington Ave,72000,25.0,SALESREP,Atlanta,Georgia,East,United States
86449.0,AntonioAcala,(323) 234-8348,(323) 234-8348,aantonio@hotmail.com,1637 E 52d,70000,26.0,SALESREP,West Palm Beach,Florida,East,United States
86493.0,AloysiusZealy,(404) 351-8608,(404) 351-8608,,1296 Moores Mill Rd Nw,83900,26.0,MANAGER,West Palm Beach,Florida,East,United States
86499.0,Kenneth AAnderberg,(770) 437-1778,(770) 437-1778,akennetha@xyz.org,3120 New Paces Fry Rd Se,62900,26.0,SALESREP,West Palm Beach,Florida,East,United States
86436.0,HenryPearce Percy,(408) 353-2928,(408) 353-2928,phenry@univ.edu,23415 Sky View Ter,74100,29.0,SALESREP,Indianapolis,Indiana,Central,United States
86441.0,HermanNurcanyan,(310) 559-4646,(310) 559-4646,nherman@hotmail.com,10767 Rose Ave Apt 49,68100,29.0,SALESREP,Indianapolis,Indiana,Central,United States
86496.0,ClarenceErnest,(404) 696-3119,(404) 696-3119,,4046 Princeton Pl Sw,85200,29.0,MANAGER,Indianapolis,Indiana,Central,United States
86473.0,Matthew CBracco,(404) 634-5228,(404) 634-5228,bmatthewc@univ.edu,2424 Druid Oaks Ne,56600,30.0,SALESREP,Greenwich,Connecticut,East,United States
86497.0,RGiacalone,(404) 848-8892,(404) 848-8892,gr@xyz.org,2123 Lenox Park Cir Ne,83200,30.0,MANAGER,Greenwich,Connecticut,East,United States
