DEALERSHIP_ID,REGION,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,COUNTRY,PHONE NUMBER,FAX NUMBER,EMAIL,GENDER,POSITION TYPE,HIRE_DATE,DATE_ENTERED,Causa_Rechazo
8.0,West,86428.0,David T,Acalin,4221 Wilshire Blvd,Sacramento,California,United States,3239378888,3239978888,adavidt@yahoo.com,M,MANAGER,1/2/2003 0:00,1/3/2003 0:00,Sin Salario
9.0,West,86439.0,Hagop,Jambaziam,1640 N Hobart Blvd,San Jose,California,United States,3234653014,3234653014,jhagop@hotmail.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00,Sin Salario
9.0,West,86411.0,Dean,Renly,7719 Lexington Ave,San Jose,California,United States,3238769727,3238769727,rdean@hotmail.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00,Sin Salario
9.0,West,86419.0,Alan,David,1925 Century Park E,San Jose,California,United States,3102038000,3102038000,dalan@xyz.org,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
10.0,West,86448.0,Bernard,Davidson,9509 Sawyer St,Oakland,California,United States,3108391924,3108391924,dbernard@hotmail.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
10.0,West,86472.0,William A,Brabson,2141 Springdale Rd Sw,Oakland,California,United States,4047668150,4047668150,bwilliama@yahoo.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
10.0,West,86461.0,David C,Andersen,2236 Old Brooke Ln,Oakland,California,United States,7703941706,7703941706,adavidc@geocities.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
10.0,West,86407.0,J,Kingsbury,3042 Rowena Dr,Oakland,California,United States,5624305744,5624305744,kj@xyz.org,M,MANAGER,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
27.0,West,86494.0,Beau,Teague,1131 Pinhurst Dr,Phoenix,Arizona,United States,7703840477,7703840477,tbeau@xyz.org,M,MANAGER,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
27.0,West,86417.0,Darren,Xanthos,10727 Lawler St,Phoenix,Arizona,United States,3108385276,3108385276,xdarren@yahoo.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
28.0,West,86422.0,Owen,Davies,120 S Vignes St,Honolulu,Hawaii,United States,2136251538,2136251538,dowen@mailcity.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
28.0,West,86446.0,Richard,Teach,1814 Village Mill Rd,Honolulu,Hawaii,United States,7703965851,7703965851,trichard@univ.edu,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
28.0,West,86454.0,Ric R,Carrasquilla,12 Peachtree Ave Ne,Honolulu,Hawaii,United States,4048698408,4048698408,cricr@yahoo.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
28.0,West,86495.0,A G,Teague,2055 Wallace Rd Sw,Honolulu,Hawaii,United States,4043442134,4043442134,,M,MANAGER,1/3/2003 0:00,1/3/2003 0:00,Sin Salario
